date,open,high,low,close,volume
2023-01-11,47.52,49.0,46.945,48.97,5238442.0
2023-01-12,48.1,49.405,46.31,49.15,8252724.0
2023-01-13,48.53,50.84,48.13,50.82,6694883.0
2023-01-17,50.11,51.22,49.11,51.03,4814418.0
2023-01-18,51.93,52.36,49.86,50.24,4501968.0
2023-01-19,49.1,50.385,48.77,49.94,4063151.0
2023-01-20,50.94,52.59,50.75,52.39,6857452.0
2023-01-23,52.73,55.39,52.04,54.64,6557465.0
2023-01-24,53.91,54.79,52.48,52.61,4855246.0
2023-01-25,50.36,53.3,49.46,52.15,12213365.0
2023-01-26,55.28,55.62,51.45,52.58,8305211.0
2023-01-27,52.245,56.77,51.95,56.04,8252030.0
2023-01-30,54.81,55.971,53.72,54.0,6754518.0
2023-01-31,54.65,58.36,54.4,57.5,11255039.0
2023-02-01,57.7501,60.68,56.34,60.05,9855912.0
2023-02-02,62.66,66.86,62.66,65.47,10858077.0
2023-02-03,62.412,66.22,62.27,62.84,5947674.0
2023-02-06,61.37,63.32,60.82,62.21,4063535.0
2023-02-07,61.95,63.42,59.9301,62.5,4807704.0
2023-02-08,61.25,62.16,58.71,59.1,5195412.0
2023-02-09,60.59,61.0765,54.89,54.99,6597335.0
2023-02-10,54.3,57.6,54.02,54.9,6922561.0
2023-02-13,54.88,56.2999,53.6,55.36,4020534.0
2023-02-14,54.4001,56.96,53.63,56.64,5202108.0
2023-02-15,58.56,63.7507,58.55,63.49,18161277.0
2023-02-16,69.12,76.62,68.11,70.57,43471734.0
2023-02-17,73.01,73.48,68.42,71.56,19891146.0
2023-02-21,69.34,70.9499,64.76,65.63,11302156.0
2023-02-22,66.1,69.53,65.07,68.84,10008175.0
2023-02-23,69.65,69.9,64.67,66.79,8009143.0
2023-02-24,64.21,65.17,62.05,62.65,8071065.0
2023-02-27,63.3,63.4,60.11,62.35,9144260.0
2023-02-28,62.5,65.87,61.76,64.69,9219706.0
2023-03-01,63.83,64.85,62.35,63.64,5588196.0
2023-03-02,61.9,64.18,61.14,64.03,5626841.0
2023-03-03,64.34,66.12,63.551,65.62,5544016.0
2023-03-06,66.31,67.8899,63.55,63.64,7150101.0
2023-03-07,63.66,65.09,62.37,62.4,5395694.0
2023-03-08,62.24,63.39,59.8,63.24,6676753.0
2023-03-09,64.25,66.42,60.26,60.52,8541222.0
2023-03-10,60.14,61.83,58.16,59.99,8647412.0
2023-03-13,57.81,61.05,54.5,59.54,13179209.0
2023-03-14,61.775,62.98,60.71,61.71,6349619.0
2023-03-15,60.57,62.67,59.3,62.34,6474285.0
2023-03-16,62.61,65.38,61.37,65.18,6367079.0
2023-03-17,65.2,65.48,62.56,64.24,7714469.0
2023-03-20,63.85,63.9999,60.4883,61.82,7906768.0
2023-03-21,62.42,66.17,61.95,65.91,6536444.0
2023-03-22,66.19,66.79,62.85,62.94,6378241.0
2023-03-23,63.36,66.6707,61.6546,63.2,7411716.0
2023-03-24,62.333,63.44,59.68,60.0,8088895.0
2023-03-27,62.56,65.8799,61.58,62.82,19271479.0
2023-03-28,62.55,63.31,60.4,60.6,6931747.0
2023-03-29,61.85,64.05,61.1,63.91,8241119.0
2023-03-30,65.88,66.97,60.2602,61.62,18822195.0
2023-03-31,61.88,65.94,60.72,65.82,14688342.0
2023-04-03,64.93,65.75,62.6179,65.71,8476126.0
2023-04-04,66.4,68.35,64.7423,66.12,11526018.0
2023-04-05,65.1,65.39,61.12,61.27,9049634.0
2023-04-06,60.95,64.17,59.46,64.08,9170137.0
2023-04-10,63.04,64.45,61.79,64.32,7988403.0
2023-04-11,64.32,64.98,62.64,63.97,5914789.0
2023-04-12,65.47,65.47,60.42,60.47,9041837.0
2023-04-13,61.1,64.12,61.1,63.32,9412112.0
2023-04-14,63.13,63.46,60.94,61.72,6017283.0
2023-04-17,61.52,64.53,61.07,64.47,7952518.0
2023-04-18,64.73,65.1,63.18,64.84,6019123.0
2023-04-19,63.5,63.64,61.585,61.74,6907011.0
2023-04-20,61.0,61.5591,58.85,58.92,8540107.0
2023-04-21,59.0,60.65,57.72,58.05,9124744.0
2023-04-24,58.25,60.15,57.46,59.06,8069978.0
2023-04-25,59.21,60.4199,57.3201,57.72,7424921.0
2023-04-26,58.66,59.6,56.2726,56.56,12005647.0
2023-04-27,54.82,58.84,53.83,57.01,15582350.0
2023-04-28,56.63,57.0399,54.8,56.21,8414953.0
2023-05-01,56.48,57.38,55.51,56.68,5579365.0
2023-05-02,56.3,56.46,54.98,55.35,6164885.0
2023-05-03,55.33,56.2,53.47,53.51,6965745.0
2023-05-04,53.07,53.5947,52.11,52.79,4869515.0
2023-05-05,53.7,55.34,52.97,54.97,4771626.0
2023-05-08,54.96,56.3,54.02,55.71,4447323.0
2023-05-09,55.119,55.8514,54.42,55.42,3528913.0
2023-05-10,56.86,57.71,55.38,55.93,4671988.0
2023-05-11,56.3,57.07,54.68,56.85,5217796.0
2023-05-12,57.0,57.0,52.92,53.73,7604840.0
2023-05-15,53.71,54.85,52.94,54.02,4724192.0
2023-05-16,53.44,53.5897,52.1,52.23,5157830.0
2023-05-17,52.19,53.62,51.6201,52.56,4440236.0
2023-05-18,52.7,54.6,51.75,53.81,5637771.0
2023-05-19,53.41,54.0,52.53,52.61,4505188.0
2023-05-22,52.53,56.65,52.3,56.62,6564197.0
2023-05-23,56.26,58.66,55.68,55.88,6992184.0
2023-05-24,55.34,58.34,55.12,58.18,7028332.0
2023-05-25,58.73,58.93,54.44,54.58,5792536.0
2023-05-26,54.36,56.4482,53.9379,56.05,3876965.0
2023-05-30,57.49,59.17,56.42,57.73,4142115.0
2023-05-31,57.01,58.31,56.3,58.2,4344686.0
2023-06-01,58.17,59.2692,56.4801,58.55,3971359.0
2023-06-02,60.0,60.95,58.85,60.14,5143223.0
2023-06-05,59.44,61.67,59.4,60.92,5053382.0
2023-06-06,60.13,63.61,60.02,62.98,6137724.0
2023-06-07,65.18,72.5218,64.75,68.03,23389434.0
2023-06-08,68.78,70.97,68.0,69.1,10985241.0
2023-06-09,70.725,74.9094,69.2,69.48,12516233.0
